Date,State,Cases,Deaths,Recovered,Vulnerability
2020-12-28,Alabama,42,0,42,Low
2020-12-29,Alabama,37,0,37,Low
2020-12-30,Alabama,129,0,129,Low
2020-12-31,Alabama,19,0,19,Low
2020-10-01,Arizona,30,0,30,Low
2020-10-02,Arizona,85,2,67,Moderate
2020-10-03,Arizona,3579,165,2094,Critical
2020-10-04,Arizona,1922,73,1265,Critical
2020-10-05,,,,,Critical
2020-10-05,Arizona,4263,144,2967,Critical
2020-10-06,Arizona,1444,60,904,Critical
2020-10-07,Arizona,877,25,652,Moderate
2020-10-08,Arizona,59,2,41,Moderate
2020-10-09,Arizona,548,15,413,Moderate
2020-10-10,Arizona,142968,3424,112152,Critical
2020-10-11,Arizona,4048,229,1987,Critical
2020-10-12,Arizona,5818,236,3694,Critical
2020-10-13,Arizona,25855,627,20212,Critical
2020-10-14,Arizona,10717,210,8827,Critical
2020-10-15,Arizona,2881,63,2314,Critical
2020-10-16,Arizona,2609,84,1853,Critical
2020-10-17,Arizona,12815,348,9683,Critical
2020-10-18,Arizona,454,10,364,Low
2020-10-19,Arizona,451,11,352,Moderate
2020-10-20,Arizona,397,2,379,Low
2020-10-21,Arizona,6872,93,6035,Critical
2020-10-22,Arizona,796,19,625,Moderate
2020-10-23,Arizona,345,8,273,Moderate
2020-10-24,Arizona,36,0,36,Low
2020-10-25,Arizona,746,10,656,Low
2020-10-26,Arizona,1013,22,815,Low
2020-10-27,Arizona,377,4,341,Low
2020-10-28,Arizona,332,8,260,Moderate
2020-10-29,Arizona,358,9,277,Moderate
2020-10-30,Arizona,190,12,82,Moderate
2020-10-31,Arizona,545,18,383,Moderate
2020-11-01,Arizona,294,3,267,Low
2020-11-02,Arizona,3227,24,3011,Low
2020-11-03,Arizona,1543,16,1399,Low
2020-11-04,Arizona,2005,46,1591,Moderate
2020-11-05,Arizona,475,13,358,Moderate
2020-11-06,Arizona,169,5,124,Moderate
2020-11-07,Arizona,316,6,262,Low
2020-11-08,Arizona,363,7,300,Low
2020-11-09,Arizona,2679,22,2481,Low
2020-11-10,Arizona,320,2,302,Low
2020-11-11,Arizona,196,4,160,Low
2020-11-12,Arizona,2019,53,1542,Moderate
2020-11-13,Arizona,276,2,258,Low
2020-11-14,Arizona,950,13,833,Low
2020-11-15,Arizona,404,4,368,Low
2020-11-16,Arizona,1946,28,1694,Low
,Arizona,168,3,141,Low
2020-11-17,Arizona,503,12,395,Moderate
2020-11-18,Arizona,1210,22,1012,Low
2020-11-19,Arizona,267,0,267,Low
2020-11-20,Arizona,420,1,411,Low
2020-11-21,Arizona,3512,83,2765,Critical
2020-11-22,Arizona,876,7,813,Low
2020-11-23,Arizona,120,2,102,Low
2020-11-24,Arizona,485,13,368,Moderate
2020-11-25,Arizona,1079,18,917,Low
2020-11-26,Arizona,2086,15,1951,Low
2020-11-27,Arizona,371,26,137,Critical
2020-11-28,Arizona,443,1,434,Low
2020-11-29,Arizona,1302,17,1149,Low
2020-11-30,Arizona,375,3,348,Low
2020-12-01,Arizona,107,0,107,Low
2020-12-02,Arizona,900,11,801,Low
2020-12-03,Arizona,1762,53,1285,Moderate
2020-12-04,Arizona,143,0,143,Low
2020-12-05,Arizona,167,6,113,Moderate
2020-12-06,Arizona,231,13,114,Moderate
2020-12-07,Arizona,,,,Moderate
2020-12-07,Arizona,251,19,80,Critical
2020-12-08,Arizona,275,6,221,Low
2020-12-09,Arizona,94,0,94,Low
2020-12-10,Arizona,548,13,431,Moderate
2020-12-11,Arizona,237,3,210,Low
2020-12-12,Arizona,708,14,582,Low
2020-12-13,Arizona,279,4,243,Low
2020-12-14,Arizona,2243,34,1937,Low
2020-12-15,Arizona,159,3,132,Low
2020-12-16,Arizona,9720,155,8325,Critical
2020-12-17,Arizona,470,22,272,Moderate
2020-12-18,Arizona,2248,24,2032,Low
2020-12-19,Arizona,112,1,103,Low
2020-12-20,Arizona,154,1,145,Low
2020-12-21,Arizona,3926,61,3377,Critical
,,1005,25,780,Moderate
2020-12-22,Arizona,1213,19,1042,Low
2020-12-23,Arizona,250,6,196,Moderate
2020-12-24,Arizona,1559,6,1505,Low
2020-12-25,Arizona,371,13,254,Moderate
2020-12-26,Arizona,942,46,528,Moderate
2020-12-27,Arizona,1973,0,1973,Low
2020-12-28,Arizona,178,3,151,Low
2020-12-29,Arizona,9877,118,8815,Critical
2020-12-30,Arizona,958,29,697,Moderate
2020-12-31,Arizona,60,0,60,Low
2020-10-01,California,1267,30,997,Moderate
2020-10-02,California,21642,426,17808,Critical
2020-10-03,California,2,0,2,Low
2020-10-04,,,,,Low
2020-10-04,California,295,16,151,Moderate
2020-10-05,California,2879,45,2474,Low
2020-10-06,California,324,14,198,Moderate
2020-10-07,California,538,6,484,Low
2020-10-08,California,17159,211,15260,Critical
2020-10-09,California,146,1,137,Low
2020-10-10,California,1168,4,1132,Low
2020-10-11,California,28855,399,25264,Critical
2020-10-12,California,594,3,567,Low
2020-10-13,California,518,8,446,Low
2020-10-14,California,12047,325,9122,Critical
2020-10-15,California,191,15,56,Critical
2020-10-16,California,32443,386,28969,Critical
2020-10-17,California,7716,80,6996,Critical
2020-10-18,California,579,11,480,Low
2020-10-19,California,744,0,744,Low
2020-10-20,California,273638,6642,213860,Critical
2020-10-21,California,4642,70,4012,Critical
2020-10-22,California,6775,119,5704,Critical
,California,5006,125,3881,Critical
2020-10-23,California,76,2,58,Moderate
2020-10-24,California,996,20,816,Low
2020-10-25,California,9033,145,7728,Critical
2020-10-26,California,26,0,26,Low
2020-10-27,California,168,2,150,Low
2020-10-28,California,10312,75,9637,Critical
2020-10-29,California,1738,13,1621,Low
2020-10-30,California,543,7,480,Low
2020-10-31,California,55903,1286,44329,Critical
2020-11-01,California,3628,49,3187,Low
2020-11-02,California,48,0,48,Low
2020-11-03,California,59934,1231,48855,Critical
2020-11-04,California,22854,430,18984,Critical
2020-11-05,California,1362,11,1263,Low
2020-11-06,California,56011,962,47353,Critical
2020-11-07,California,48263,798,41081,Critical
2020-11-08,California,11417,107,10454,Critical
2020-11-09,California,20485,470,16255,Critical
2020-11-10,California,3685,31,3406,Low
2020-11-11,California,10207,152,8839,Critical
2020-11-12,California,9249,115,8214,Critical
2020-11-13,California,21734,334,18728,Critical
2020-11-14,California,2494,12,2386,Low
2020-11-15,,,0,,Low
2020-11-15,California,1046,22,848,Low
2020-11-16,California,6,0,6,Low
2020-11-17,California,167,0,167,Low
2020-11-18,California,6525,71,5886,Critical
2020-11-19,California,7799,122,6701,Critical
2020-11-20,California,16703,370,13373,Critical
2020-11-21,California,1748,11,1649,Low
2020-11-22,California,619,6,565,Low
2020-11-23,California,16,0,16,Low
2020-11-24,California,16399,265,14014,Critical
2020-11-25,California,230,4,194,Low
2020-11-26,California,13120,153,11743,Critical
2020-11-27,California,2867,56,2363,Low
2020-11-28,California,1188,9,1107,Low
2020-11-29,California,9725,230,7655,Critical
2020-11-30,California,250,9,169,Moderate
2020-12-01,California,9775,374,6409,Critical
2020-12-02,California,55,0,55,Low
2020-12-03,California,18,0,18,Low
2020-12-04,California,11,0,11,Low
2020-12-05,California,4612,80,3892,Critical
,California,4613,0,4613,Low
2020-12-06,California,684,33,387,Moderate
2020-12-07,California,336,19,165,Moderate
2020-12-08,California,14,0,14,Low
2020-12-09,California,47,1,38,Low
2020-12-10,California,37,0,37,Low
2020-12-11,California,32,1,23,Moderate
2020-12-12,California,74,1,65,Low
2020-12-13,California,18,0,18,Low
2020-12-14,California,192,3,165,Low
2020-12-15,California,13755,441,9786,Critical
2020-12-16,California,3,0,3,Low
2020-12-17,California,2897,61,2348,Critical
2020-12-18,California,1274,10,1184,Low
2020-12-19,California,7171,177,5578,Critical
2020-12-20,California,167,3,140,Low
2020-12-21,California,178,1,169,Low
2020-12-22,California,965,5,920,Low
2020-12-23,California,19,0,19,Low
2020-12-24,California,83,1,74,Low
2020-12-25,California,296,7,233,Moderate
2020-12-26,California,3,0,3,Low
2020-12-27,California,25,1,16,Moderate
2020-12-28,California,9,0,9,Low
2020-12-29,California,,0,,Low
2020-12-29,California,6014,254,3728,Critical
2020-12-30,California,1,0,1,Low
2020-12-31,California,81,3,54,Moderate
2020-10-01,Florida,268,2,250,Low
2020-10-02,Florida,99,0,99,Low
2020-10-03,Florida,2731,54,2245,Low
2020-10-04,Florida,25,0,25,Low
2020-10-05,Florida,16,0,16,Low
2020-10-06,Florida,922,6,868,Low
2020-10-07,Florida,696,7,633,Low
2020-10-08,Florida,20,0,20,Low
,Florida,21,,,Low
2020-10-09,Florida,43,1,34,Moderate
2020-10-10,Florida,146,5,101,Moderate
2020-10-11,Florida,386,13,269,Moderate
2020-10-12,Florida,760,48,328,Moderate
2020-10-13,Florida,106,6,52,Moderate
2020-10-14,Florida,28,1,19,Moderate
2020-10-15,Florida,59,1,50,Low
2020-10-16,Florida,33,0,33,Low
2020-10-17,Florida,226,2,208,Low
2020-10-18,Florida,94,0,94,Low
2020-10-19,Florida,1176,37,843,Moderate
2020-10-20,Florida,26,0,26,Low
2020-10-21,Florida,98,2,80,Low
2020-10-22,Florida,161,8,89,Moderate
2020-10-23,Florida,111,2,93,Low
2020-10-24,Florida,6,0,6,Low
2020-10-25,Florida,94,0,94,Low
2020-10-26,Florida,15,1,6,Critical
2020-10-27,Florida,479,4,443,Low
2020-10-28,Florida,178,4,142,Moderate
2020-10-29,Florida,67,0,67,Low
2020-10-30,Florida,67,,,Low
2020-10-30,Florida,4909,151,3550,Critical
2020-10-31,Florida,130,1,121,Low
2020-11-01,Florida,20400,1423,7593,Critical
2020-11-02,Florida,14989,1439,2038,Critical
2020-11-03,Florida,1899,141,630,Critical
2020-11-04,Florida,1614,193,-123,Critical
2020-11-05,Florida,14583,1115,4548,Critical
2020-11-06,Florida,2206,119,1135,Critical
2020-11-07,Florida,1449,67,846,Critical
2020-11-08,Florida,132,0,132,Low
2020-11-09,Florida,1025,16,881,Low
2020-11-10,Florida,3137,118,2075,Critical
2020-11-11,Florida,10936,317,8083,Critical
2020-11-12,Florida,6962,210,5072,Critical
2020-11-13,Florida,90,0,90,Low
2020-11-14,Florida,15473,629,9812,Critical
2020-11-15,Florida,8494,63,7927,Critical
2020-11-16,Florida,1517,13,1400,Low
2020-11-17,Florida,6183,113,5166,Critical
2020-11-18,Florida,1148,9,1067,Low
2020-11-19,Florida,9335,303,6608,Critical
2020-11-20,Florida,77762,1414,65036,Critical
2020-11-21,Florida,629,13,512,Low
2020-11-22,Florida,3136,140,1876,Critical
2020-11-23,Florida,2822,108,1850,Critical
2020-11-24,Florida,5252,105,4307,Critical
2020-11-25,Florida,12862,228,10810,Critical
2020-11-26,Florida,3888,59,3357,Low
2020-11-27,,3888,0,3888,Low
2020-11-27,Florida,1581,27,1338,Low
2020-11-28,Florida,834,9,753,Low
2020-11-29,Florida,30914,427,27071,Critical
2020-11-30,Florida,12448,240,10288,Critical
2020-12-01,Florida,1780,28,1528,Low
2020-12-02,Florida,641,4,605,Low
2020-12-03,Florida,2882,47,2459,Low
2020-12-04,Florida,515,14,389,Moderate
2020-12-05,Florida,549,4,513,Low
2020-12-06,Florida,884,14,758,Low
2020-12-07,Florida,865,8,793,Low
2020-12-08,Florida,1385,11,1286,Low
2020-12-09,Florida,2085,40,1725,Low
2020-12-10,Florida,3233,134,2027,Critical
2020-12-11,Florida,2213,91,1394,Critical
2020-12-12,Florida,42765,668,36753,Critical
2020-12-13,Florida,766,9,685,Low
2020-12-14,Florida,3309,118,2247,Critical
2020-12-15,Florida,2867,81,2138,Critical
2020-12-16,Florida,567,9,486,Low
2020-12-17,Florida,1233,12,1125,Low
2020-12-18,Florida,7650,193,5913,Critical
2020-12-19,Florida,20742,472,16494,Critical
2020-12-20,Florida,10814,81,10085,Critical
2020-12-21,Florida,1051,10,961,Low
2020-12-22,Florida,518,8,446,Low
2020-12-23,Florida,1022,20,842,Low
2020-12-24,Florida,11732,295,9077,Critical
2020-12-25,Florida,9917,301,7208,Critical
2020-12-26,Florida,4977,142,3699,Critical
2020-12-27,Florida,171875,3330,141905,Critical
2020-12-28,Florida,1861,22,1663,Low
2020-12-29,Florida,2159,48,1727,Moderate
2020-12-30,,,48,,Moderate
2020-12-30,Florida,5143,119,4072,Critical
2020-12-31,Florida,1587,28,1335,Low
2020-10-01,Texas,40840,478,36538,Critical
2020-10-02,Texas,12727,158,11305,Critical
2020-10-03,Texas,46960,1391,34441,Critical
2020-10-04,Texas,9444,210,7554,Critical
2020-10-05,Texas,22441,763,15574,Critical
2020-10-06,Texas,20354,531,15575,Critical
2020-10-07,Texas,2160,41,1791,Low
2020-10-08,Texas,5420,78,4718,Critical
2020-10-09,,5420,78,,Critical
2020-10-09,Texas,8329,263,5962,Critical
2020-10-10,Texas,9200,226,7166,Critical
2020-10-11,Texas,5497,73,4840,Critical
2020-10-12,Texas,8189,292,5561,Critical
2020-10-13,Texas,2438,73,1781,Critical
2020-10-14,Texas,2768,71,2129,Critical
2020-10-15,Texas,1344,13,1227,Low
2020-10-16,Texas,989,17,836,Low
2020-10-17,Texas,1766,0,1766,Low
2020-10-18,Texas,11077,259,8746,Critical
2020-10-19,Texas,1156,10,1066,Low
2020-10-20,Texas,2003,25,1778,Low
2020-10-21,Texas,1089,23,882,Low
2020-10-22,Texas,1057,30,787,Moderate
2020-10-23,Texas,447,3,420,Low
,Texas,448,,,Low
2020-10-24,Texas,604,14,478,Moderate
2020-10-25,Texas,84,4,48,Moderate
2020-10-26,Texas,2142,58,1620,Moderate
2020-10-27,Texas,503,8,431,Low
2020-10-28,Texas,2268,48,1836,Low
2020-10-29,Texas,3000,88,2208,Critical
2020-10-30,Texas,803,26,569,Moderate
2020-10-31,Texas,461,12,353,Moderate
2020-11-01,Texas,6128,177,4535,Critical
2020-11-02,Texas,446,21,257,Moderate
2020-11-03,Texas,350,10,260,Moderate
2020-11-04,Texas,526,26,292,Moderate
2020-11-05,Texas,1170,11,1071,Low
2020-11-06,Texas,2913,28,2661,Low
2020-11-07,Texas,838,10,748,Low
2020-11-08,Texas,683,43,296,Moderate
2020-11-09,Texas,250,9,169,Moderate
2020-11-10,Texas,1326,13,1209,Low
,,,0,,Low
2020-11-11,Texas,474,20,294,Moderate
2020-11-12,Texas,2862,69,2241,Critical
2020-11-13,Texas,1236,19,1065,Low
2020-11-14,Texas,641,7,578,Low
2020-11-15,Texas,8646,167,7143,Critical
2020-11-16,Texas,1683,1,1674,Low
2020-11-17,Texas,808,22,610,Moderate
2020-11-18,Texas,6218,93,5381,Critical
2020-11-19,Texas,5184,44,4788,Low
2020-11-20,Texas,121,3,94,Moderate
2020-11-21,Texas,7159,162,5701,Critical
2020-11-22,Texas,386,8,314,Low
2020-11-23,Texas,19968,429,16107,Critical
2020-11-24,Texas,2094,51,1635,Moderate
2020-11-25,Texas,1911,34,1605,Low
2020-11-26,Texas,3841,61,3292,Critical
2020-11-27,Texas,555,14,429,Moderate
2020-11-28,Texas,2662,49,2221,Low
2020-11-29,Texas,169,5,124,Moderate
2020-11-30,Texas,583,17,430,Moderate
2020-12-01,Texas,289,5,244,Low
2020-12-02,Texas,847,8,775,Low
2020-12-03,Texas,19084,371,15745,Critical
2020-12-04,Texas,1200,29,939,Moderate
2020-12-05,Texas,439,12,331,Moderate
2020-12-06,,,12,,Moderate
2020-12-06,Texas,346,14,220,Moderate
2020-12-07,Texas,3170,188,1478,Critical
2020-12-08,Texas,3656,69,3035,Critical
2020-12-09,Texas,510,33,213,Moderate
2020-12-10,Texas,242,2,224,Low
2020-12-11,Texas,1497,26,1263,Low
2020-12-12,Texas,706,5,661,Low
2020-12-13,Texas,1097,32,809,Moderate
2020-12-14,Texas,432,6,378,Low
2020-12-15,Texas,706,25,481,Moderate
2020-12-16,Texas,1914,52,1446,Moderate
2020-12-17,Texas,3308,46,2894,Low
2020-12-18,Texas,4200,46,3786,Low
2020-12-19,Texas,775,13,658,Low
2020-12-20,Texas,27994,579,22783,Critical
2020-12-21,Texas,852,13,735,Low
2020-12-22,Texas,40,2,22,Moderate
2020-12-23,Texas,3511,96,2647,Critical
2020-12-24,Texas,1906,40,1546,Low
2020-12-25,Texas,800,22,602,Moderate
2020-12-26,Texas,514,24,298,Moderate
2020-12-27,Texas,27986,414,24260,Critical
2020-12-28,Texas,1731,71,1092,Critical
2020-12-29,Texas,9617,158,8195,Critical
2020-12-30,Texas,398,43,11,Critical
2020-12-31,Texas,511,9,430,Low
2020-10-01,Georgia,802,22,604,Moderate
2020-10-02,Georgia,527,13,410,Moderate
2020-10-03,Georgia,201,6,147,Moderate
2020-10-04,Georgia,,0,,Moderate
2020-10-04,Georgia,5399,103,4472,Critical
2020-10-05,Georgia,3182,84,2426,Critical
2020-10-06,Georgia,323,5,278,Low
2020-10-07,Georgia,2061,34,1755,Low
2020-10-08,Georgia,224,4,188,Low
2020-10-09,Georgia,728,20,548,Moderate
2020-10-10,Georgia,814,29,553,Moderate
2020-10-11,Georgia,437,30,167,Critical
2020-10-12,Georgia,419,22,221,Moderate
2020-10-13,Georgia,571,9,490,Low
2020-10-14,Georgia,380,18,218,Moderate
2020-10-15,Georgia,297,5,252,Low
2020-10-16,Georgia,1702,75,1027,Critical
2020-10-17,Georgia,709,26,475,Moderate
2020-10-18,Georgia,1140,23,933,Low
2020-10-19,Georgia,214,7,151,Moderate
2020-10-20,Georgia,255,3,228,Low
2020-10-21,Georgia,3979,83,3232,Critical
2020-10-22,Georgia,942,14,816,Low
2020-10-23,Georgia,,,,Low
2020-10-23,Georgia,235,10,145,Moderate
2020-10-24,Georgia,713,8,641,Low
2020-10-25,Georgia,193,9,112,Moderate
2020-10-26,Georgia,614,14,488,Moderate
2020-10-27,Georgia,296,7,233,Moderate
2020-10-28,Georgia,556,13,439,Moderate
2020-10-29,Georgia,275,1,266,Low
2020-10-30,Georgia,823,45,418,Moderate
2020-10-31,Georgia,704,52,236,Critical
2020-11-01,Georgia,321,5,276,Low
2020-11-02,Georgia,489,3,462,Low
2020-11-03,Georgia,848,6,794,Low
2020-11-04,Georgia,6094,170,4564,Critical
2020-11-05,Georgia,2627,91,1808,Critical
2020-11-06,Georgia,771,26,537,Moderate
2020-11-07,Georgia,343,11,244,Moderate
2020-11-08,Georgia,2854,57,2341,Low
2020-11-09,Georgia,682,25,457,Moderate
,,682,25,,Moderate
2020-11-10,Georgia,628,10,538,Low
2020-11-11,Georgia,620,22,422,Moderate
2020-11-12,Georgia,347,10,257,Moderate
2020-11-13,Georgia,1514,18,1352,Low
2020-11-14,Georgia,318,22,120,Critical
2020-11-15,Georgia,710,25,485,Moderate
2020-11-16,Georgia,34,1,25,Moderate
2020-11-17,Georgia,378,10,288,Moderate
2020-11-18,Georgia,331,29,70,Critical
2020-11-19,Georgia,7245,166,5751,Critical
2020-11-20,Georgia,1892,37,1559,Low
2020-11-21,Georgia,106,2,88,Low
2020-11-22,Georgia,423,11,324,Moderate
2020-11-23,Georgia,370,9,289,Moderate
2020-11-24,Georgia,1355,62,797,Critical
2020-11-25,Georgia,1114,38,772,Moderate
,Georgia,,38,,Moderate
2020-11-26,Georgia,523,15,388,Moderate
2020-11-27,Georgia,941,63,374,Critical
2020-11-28,Georgia,166,6,112,Moderate
2020-11-29,Georgia,23,0,23,Low
2020-11-30,Georgia,848,11,749,Low
2020-12-01,Georgia,217,11,118,Moderate
2020-12-02,Georgia,395,20,215,Moderate
2020-12-03,Georgia,330,32,42,Critical
2020-12-04,Georgia,1505,66,911,Critical
2020-12-05,Georgia,1822,57,1309,Moderate
2020-12-06,Georgia,1359,51,900,Moderate
2020-12-07,Georgia,348,10,258,Moderate
2020-12-08,Georgia,263,11,164,Moderate
2020-12-09,Georgia,2845,101,1936,Critical
2020-12-10,Georgia,316,24,100,Critical
2020-12-11,Georgia,199,9,118,Moderate
2020-12-12,Georgia,797,21,608,Moderate
2020-12-13,Georgia,2248,6,2194,Low
2020-12-14,Georgia,806,63,239,Critical
2020-12-15,Georgia,1616,38,1274,Moderate
2020-12-16,Georgia,1862,56,1358,Moderate
2020-12-17,Georgia,1521,62,963,Critical
2020-12-18,Georgia,156,5,111,Moderate
2020-12-19,Georgia,689,8,617,Low
2020-12-20,Georgia,1152,31,873,Moderate
2020-12-21,Georgia,1153,,,Moderate
2020-12-21,Georgia,43,2,25,Moderate
2020-12-22,Georgia,345,11,246,Moderate
2020-12-23,Georgia,894,19,723,Low
2020-12-24,Georgia,4698,61,4149,Critical
2020-12-25,Georgia,249,22,51,Critical
2020-12-26,Georgia,268,5,223,Low
2020-12-27,Georgia,345,18,183,Moderate
2020-12-28,Georgia,545,30,275,Moderate
2020-12-29,Georgia,3668,52,3200,Low
2020-12-30,Georgia,806,15,671,Low
2020-12-31,Georgia,11522,128,10370,Critical
2020-12-31,,10899,1111111,,Critical
